Dataset,Accuracy
ArrowHead,0.8274285674095154
ACSF1,0.8980000019073486
Adiac,0.8235293984413147
AllGestureWiimoteX,0.7557142853736878
AllGestureWiimoteY,0.7874285817146301
AllGestureWiimoteZ,0.7320000052452087
Beef,0.7266666650772095
BeetleFly,0.85
BirdChicken,0.8
BME,0.9840000152587891
Car,0.9399999976158142
CBF,0.9982222318649292
Chinatown,0.9801749348640442
ChlorineConcentration,0.8422916650772094
CinCECGTorso,0.7101449191570282
Coffee,1.0
Computers,0.8016000032424927
CricketX,0.8241025567054748
CricketY,0.8241025567054748
CricketZ,0.8466666460037231
Crop,0.7170238137245178
DiatomSizeReduction,0.955555534362793
DistalPhalanxOutlineAgeGroup,0.7280575513839722
DistalPhalanxOutlineCorrect,0.7594202876091003
DistalPhalanxTW,0.6805755615234375
DodgerLoopDay,0.5424999833106995
DodgerLoopGame,0.8115941882133484
DodgerLoopWeekend,0.9724637746810914
Earthquakes,0.7093525171279907
ECG200,0.8939999938011169
ECG5000,0.9395111203193665
ECGFiveDays,0.9965156793594361
ElectricDevices,0.6842432975769043
EOGHorizontalSignal,0.5856353521347046
EOGVerticalSignal,0.385082882642746
EthanolLevel,0.7235999941825867
FaceAll,0.7965680360794067
FaceFour,0.9522727131843567
FacesUCR,0.9574633955955505
FiftyWords,0.7780219912528992
Fish,0.9828571438789367
FordA,0.9495454430580139
FordB,0.8471605062484742
FreezerRegularTrain,0.9978947401046753
FreezerSmallTrain,0.9416842222213745
Fungi,0.9978494644165039
GestureMidAirD1,0.7399999976158143
GestureMidAirD2,0.6769230842590332
GestureMidAirD3,0.3938461601734161
GesturePebbleZ1,0.9127907156944275
GesturePebbleZ2,0.90253164768219
GunPoint,1.0
GunPointAgeSpan,0.9917721509933471
GunPointMaleVersusFemale,0.9917721629142762
GunPointOldVersusYoung,0.9746031761169434
Ham,0.7504762053489685
HandOutlines,0.9437837839126587
Haptics,0.5266233682632446
Herring,0.703125
HouseTwenty,0.978151261806488
InlineSkate,0.5312727212905883
InsectEPGRegularTrain,0.9983935832977295
InsectEPGSmallTrain,0.9686747074127198
InsectWingbeatSound,0.6040403962135314
ItalyPowerDemand,0.9673469305038452
LargeKitchenAppliances,0.8848000049591065
Lightning2,0.7836065530776978
Lightning7,0.8356164455413818
Mallat,0.9547974348068238
Meat,0.9300000071525574
MedicalImages,0.7576315879821778
MelbournePedestrian,0.8993029952049255
MiddlePhalanxOutlineCorrect,0.8123711347579956
MiddlePhalanxOutlineAgeGroup,0.5194805264472961
MiddlePhalanxTW,0.5194805264472961
MixedShapesRegularTrain,0.9766597986221314
MixedShapesSmallTrain,0.9356701016426087
MoteStrain,0.874760365486145
NonInvasiveFetalECGThorax1,0.9523664236068725
NonInvasiveFetalECGThorax2,0.9533842325210571
OliveOil,0.6733333468437195
OSULeaf,0.9487603306770325
PhalangesOutlinesCorrect,0.8230769157409668
Phoneme,0.3159282743930817
PickupGestureWiimoteZ,0.7639999866485596
PigAirwayPressure,0.3913461625576019
PigArtPressure,0.9875
PigCVP,0.9480769157409668
PLAID,0.9061452627182007
Plane,1.0
PowerCons,0.952222216129303
ProximalPhalanxOutlineCorrect,0.9099656343460083
ProximalPhalanxOutlineAgeGroup,0.8360975623130799
ProximalPhalanxTW,0.7843902468681335
RefrigerationDevices,0.5114666640758514
Rock,0.8319999933242798
ScreenType,0.5685333251953125
SemgHandGenderCh2,0.8493333458900452
SemgHandMovementCh2,0.4595555603504181
SemgHandSubjectCh2,0.758222234249115
ShakeGestureWiimoteZ,0.9279999971389771
ShapeletSim,0.7255555510520935
ShapesAll,0.8916666626930236
SmallKitchenAppliances,0.7541333198547363
SmoothSubspace,0.981333339214325
SonyAIBORobotSurface1,0.8389351010322571
SonyAIBORobotSurface2,0.9429170966148377
StarLightCurves,0.9752064108848572
Strawberry,0.9767567634582519
SwedishLeaf,0.9555199980735779
Symbols,0.979497492313385
SyntheticControl,0.9986666679382324
ToeSegmentation1,0.9684210419654846
ToeSegmentation2,0.9384615302085877
Trace,1.0
TwoLeadECG,0.9963125467300415
TwoPatterns,1.0
UMD,0.9722222208976745
UWaveGestureLibraryAll,0.8948073625564575
UWaveGestureLibraryX,0.806365168094635
UWaveGestureLibraryY,0.7236739277839661
UWaveGestureLibraryZ,0.7544946908950806
Wafer,0.9992212891578675
Wine,0.6444444537162781
WordSynonyms,0.6843260288238525
Worms,0.8051947951316833
WormsTwoClass,0.8129870057106018
Yoga,0.902133333683014
